pmid,author,population,totalsamplesize,meanBMI,meanDBP,Intervention_Control,extracted_portion,ctrl_author,ctrl_population,ctrl_totalsamplesize,ctrl_meanBMI,ctrl_meanDBP,ctrl_Intervention_Control,ctrl_extracted_portion,norm_ctrl_meanBMI,norm_meanBMI,norm_ctrl_meanDBP,norm_meanDBP,standardizedeucl_dist,lname,Author_pmid
12345678,Hala Mourad Demerdash,AFR,40.0,46.2,91.5,Intervention,RYGB,Hala Mourad Demerdash,AFR,40.0,45.8,92.5,Control,BAND,3.752620545073375,3.836477987421385,0.9462465245597771,0.8535681186283591,0.12498542940334478,Demerdash,Demerdash_12345678
20587720,Miguel F Herrera,EUR,24.0,44.5,89.0,Intervention,LRYGB,Miguel F Herrera,EUR,24.0,44.9,85.5,Control,LRYGB_Omentectomy,3.563941299790357,3.4800838574423487,0.29749768303985114,0.6218721037998141,0.335038558199666,Herrera,Herrera_20587720
21893621, Torgeir T. Søvik,Mixed,60.0,54.8,82.6,Intervention,GB, Torgeir T. Søvik,Mixed,60.0,55.2,88.3,Control,DS,5.723270440251574,5.639412997903564,0.5569972196478212,0.02873030583873847,0.5348812979180733,Søvik,Søvik_21893621
23163735,Juan Jesús Tur,EUR,143.0,49.23,82.84,Intervention,SOG,Juan Jesús Tur,EUR,143.0,45.79,86.83,Control,ILI,3.7505241090146755,4.471698113207547,0.42075996292863693,0.05097312326227963,0.8104531146920299,Tur,Tur_23163735_a
23163735,Juan Jesús Tur,EUR,143.0,49.23,82.84,Intervention,SOG,Juan Jesús Tur,EUR,143.0,46.76,86.61,Control,COT,3.9538784067085957,4.471698113207547,0.40037071362372506,0.05097312326227963,0.6246726539468851,Tur,Tur_23163735_b
23736733,Sayeed Ikramuddin,Mixed,120.0,34.9,78.0,Intervention,RYGBplusLMM,Sayeed Ikramuddin,Mixed,120.0,34.3,79.0,Control,LMM,1.341719077568134,1.4675052410901468,-0.30491195551436573,-0.39759036144578375,0.15624162652627255,Ikramuddin,Ikramuddin_23736733
24899464,Florencia Halperin,Mixed,43.0,36.0,81.7,Intervention,RYGB,Florencia Halperin,Mixed,43.0,36.5,76.6,Control,WhyWAIT,1.8029350104821809,1.6981132075471703,-0.5273401297497694,-0.05468025949953693,0.48414353586050574,Halperin,Halperin_24899464
28000425,Shelby Sullivan,EUR,332.0,36.0,77.97,Intervention,POSE,Shelby Sullivan,EUR,332.0,36.2,79.44,Control,Sham,1.740041928721175,1.6981132075471703,-0.26413345690454204,-0.4003707136237264,0.14254335402836701,Sullivan,Sullivan_28000425
29133606,Carlos Aurelio Schiavon ,Mixed,100.0,37.4,77.6,Intervention,RYGBplusMT,Carlos Aurelio Schiavon ,Mixed,100.0,36.4,78.0,Control,MT,1.7819706498951784,1.9916142557651992,-0.39759036144578375,-0.43466172381835144,0.21289604832016695,Schiavon,Schiavon_29133606
31931977,Donald C Simonson ,Mixed,40.0,36.4,79.1,Intervention,LAGB,Donald C Simonson ,Mixed,40.0,36.7,80.9,Control,DWM,1.8448637316561856,1.7819706498951784,-0.12882298424467106,-0.2956441149212245,0.1782830036027003,Simonson,Simonson_31931977
32540150,Ville Wallenius ,EUR,49.0,39.5,86.8,Intervention,RYGB,Ville Wallenius ,EUR,49.0,40.8,83.2,Control,SG,2.7044025157232703,2.431865828092244,0.08433734939759005,0.4179796107506943,0.4308055299850558,Wallenius,Wallenius_32540150
32889869,Robert Caiazzo,EUR,80.0,38.4,81.8,Intervention,DJBL,Robert Caiazzo,EUR,80.0,37.9,81.7,Control,MT,2.0964360587002098,2.2012578616352205,-0.05468025949953693,-0.045412418906395656,0.10523071433667124,Caiazzo,Caiazzo_32889869
33963974,Oral Ospanov,East Asian,60.0,39.88,92.25,Intervention,LOAGB-OSPAN,Oral Ospanov,East Asian,60.0,36.51,92.95,Control,HDER,1.8050314465408805,2.511530398322852,0.9879518072289154,0.9230769230769226,0.709471295728558,Ospanov,Ospanov_33963974_b
33963974,Oral Ospanov,East Asian,60.0,45.91,93.9,Intervention,LMGB-OAGB,Oral Ospanov,East Asian,60.0,36.51,92.95,Control,HDER,1.8050314465408805,3.7756813417190775,0.9879518072289154,1.0759962928637627,1.972615735721619,Ospanov,Ospanov_33963974_a
34981324,Moheb S Eskandaros ,AFR,150.0,46.25,93.47,Intervention,S-RYGB,Moheb S Eskandaros ,AFR,150.0,45.3749,95.74,Control,L-RYGB,3.6635010482180292,3.8469601677148852,1.246524559777571,1.0361445783132524,0.27913614084795385,Eskandaros,Eskandaros_34981324
